type,asin,item_url,img_url,color,price,list_price,title,category
2,B074WF15SV,https://www.amazon.in/LP-Louis-Philippe-Leather-Sneakers/dp/B074WF15SV/ref=sr_1_8942?s=shoes&ie=UTF8&qid=1530342030&sr=1-8942,https://images-eu.ssl-images-amazon.com/images/I/41e8bg54-vL.jpg,Brown,2499,4999,LP Louis Philippe Men's Leather Sneakers,fw
1,B073Z9J7B2,https://www.amazon.in/Duke-Brown-Synthetic-Leather-Casual/dp/B073Z9J7B2/ref=sr_1_9065?s=shoes&ie=UTF8&qid=1530342033&sr=1-9065,https://images-eu.ssl-images-amazon.com/images/I/41-pbwEmj1L.jpg,Brown,2199,2199,'Duke Men Synthetic Leather / Tpr Casual Shoes,fw
6,B00MXR3TS8,https://www.amazon.in/Carlton-London-Jaheem-Leather-Boots/dp/B00MXR3TS8/ref=sr_1_18468?s=shoes&ie=UTF8&qid=1530342353&sr=1-18468,https://images-eu.ssl-images-amazon.com/images/I/41ZLZP7XCQL.jpg,Tan,3199,3495,Carlton London Men's Leather Boots,fw
3,B0773NSC25,https://www.amazon.in/CAMFOOT-Men-Loafers-Moccasins-Black/dp/B0773NSC25/ref=sr_1_10258?s=shoes&ie=UTF8&qid=1530342073&sr=1-10258,https://images-eu.ssl-images-amazon.com/images/I/41%2BkZcFGoNL.jpg,Black,499,499,'CAMFOOT Men Loafers & Moccasins,fw
4,B01N9R1VE9,https://www.amazon.in/Primo-Cleats-Mens-Synthetic-Loafers/dp/B01N9R1VE9/ref=sr_1_17324?s=shoes&ie=UTF8&qid=1530342312&sr=1-17324,https://images-eu.ssl-images-amazon.com/images/I/41jzwlP1crL.jpg,Blue,299,299,Primo Cleats Men's Synthetic Loafers,fw
1,B079JY5R71,https://www.amazon.in/Vostro-Colton-Black-Casual-Shoes/dp/B079JY5R71/ref=sr_1_5818?s=shoes&ie=UTF8&qid=1530341928&sr=1-5818,https://images-eu.ssl-images-amazon.com/images/I/41RxFwgeUFL.jpg,Black,2499,2499,'Vostro Colton Men Casual Shoes,fw
2,B075Z1JR7H,https://www.amazon.in/Centrino-Mens-Brown-Sneakers-172-002/dp/B075Z1JR7H/ref=sr_1_2687?s=shoes&ie=UTF8&qid=1530341827&sr=1-2687,https://images-eu.ssl-images-amazon.com/images/I/41zrXrd7R4L.jpg,Brown,489,699,Centrino Men's Sneakers,fw
6,B07894TJ6K,https://www.amazon.in/Shoe-Bazar-Black-Casual-sb-1106-black-7/dp/B07894TJ6K/ref=sr_1_5004?s=shoes&ie=UTF8&qid=1530341902&sr=1-5004,https://images-eu.ssl-images-amazon.com/images/I/51SAHbRWWvL.jpg,Black,3390,3390,'Shoe Bazar Black Leather Boots,fw
4,B0108BXBO2,https://www.amazon.in/Hirels-Men-Tassel-Mocassion-Loafers/dp/B0108BXBO2/ref=sr_1_1431?s=shoes&ie=UTF8&qid=1530341790&sr=1-1431,https://images-eu.ssl-images-amazon.com/images/I/31hubb7UMFL.jpg,Tan,2500,2500,Hirel's Men Tan Tassel Mocassion Loafers,fw
2,B078ZVFBWW,https://www.amazon.in/Puma-Black-Asphalt-Vibrant-Orange-Sneakers-8-36777303/dp/B078ZVFBWW/ref=sr_1_469?s=shoes&ie=UTF8&qid=1530341761&sr=1-469,https://images-eu.ssl-images-amazon.com/images/I/41T0021%2Bv-L.jpg,Puma Black-Asphalt-Vibrant Orange,1399,3499,Puma Men's Gray Slip On NU Idp Sneakers,fw
